%depth[mm]	d13C
108.6	-6.04
108.9	-6.79
109.2	-4.95
109.5	-5.00
109.8	-5.54
110.1	-4.94
110.4	-6.41
110.7	-5.10
111	-5.94
111.3	-4.52
111.6	-4.13
111.9	-5.30
112.2	-4.19
112.5	-5.78
112.8	-6.28
113.1	-6.62
113.4	-5.96
113.7	-4.36
114	-5.84
114.3	-5.00
114.6	-6.01
114.9	-6.06
115.2	-6.54
115.5	-6.29
115.8	-5.76
116.1	-6.33
116.4	-4.60
116.7	-4.69
117	-5.28
117.3	-4.93
117.6	-5.00
117.9	-5.35
118.2	-5.25
118.3	-5.80
118.5	-5.78
118.8	-5.95
119.1	-5.46
119.4	-5.46
119.7	-5.91
120	-5.67
120.3	-6.25
120.6	-6.06
120.9	-5.75
121.2	-4.89
121.5	-5.62
121.8	-5.45
122.1	-4.69
122.4	-5.06
122.7	-6.31
123	-6.12
123.3	-5.73
123.6	-5.72
123.9	-6.12
124.2	-6.21
124.5	-6.48
124.8	-4.47
125.1	-5.46
125.4	-5.01
125.7	-5.93
126	-4.85
126.3	-5.78
126.6	-6.67
126.9	-6.09
127.2	-5.95
127.5	-5.09
127.8	-6.17
128.1	-5.01
128.4	-5.30
128.7	-5.40
129	-5.90
129.3	-4.69
129.6	-5.48
129.9	-5.90
130.2	-5.34
130.5	-5.70
130.8	-4.85
131.1	-6.08
