%   dft 	Mg/Ca
%   [mm]	[ppm]
70.15	1.413026375
70.20	1.596023343
70.25	1.471697532
70.30	1.320584142
70.35	1.35108993
70.40	1.227209507
70.45	1.338326515
70.50	1.418139553
70.55	1.513370741
70.60	1.387331751
70.65	1.358445314
70.70	1.230163612
70.75	1.278031647
70.80	1.70013453
70.85	1.624618322
70.90	1.56269668
70.95	1.607401642
71.00	1.38297839
71.05	1.255226264
71.10	1.567848893
71.15	1.527881474
71.20	1.50085421
71.25	1.505284544
71.30	1.326865769
71.35	1.224265749
71.40	1.661945231
71.45	1.513987363
71.50	1.400987363
71.55	1.780730553
71.60	1.682279457
71.65	1.772185974
71.70	1.854298718
71.75	1.592948059
71.80	1.503535498
71.85	1.438593225
71.90	
71.95	
72.00	
72.05	
72.10	1.325829875
72.15	1.193447249
72.20	1.80402974
72.25	1.565566501
72.30	1.456908389
72.35	1.454068541
72.40	1.424234236
72.45	1.3318137
72.50	1.784015224
72.55	1.698823703
72.60	1.228081515
72.65	1.591570339
72.70	1.500701941
72.75	1.726604345
72.80	1.636790111
72.85	2.011523765
72.90	1.747565033
72.95	1.685230957
73.00	1.982711068
73.05	1.515246476
73.10	1.761523896
73.15	1.741544489
73.20	1.454141308
73.25	1.586689233
73.30	1.366835791
73.35	1.288313919
73.40	1.547410666
73.45	1.299228583
73.50	1.612631224
73.55	1.536947629
73.60	1.658445037
73.65	1.452055165
73.70	1.7872438
73.75	1.301684291
73.80	1.485814236
73.85	1.284849562
73.90	1.457769612
73.95	1.460405473
74.00	1.277310296
74.05	1.476356806
74.10	1.495553116
74.15	1.350111756
74.20	1.469916705
74.25	1.438368812
74.30	1.296495131
74.35	1.58728656
74.40	1.464819255
74.45	1.56516239
74.50	1.580465051
74.55	1.369316491
74.60	1.406314449
74.65	1.465302391
74.70	1.405311748
74.75	1.278749855
74.80	1.421009388
74.85	1.616671534
74.90	1.425847042
74.95	1.336593317
75.00	1.260264442
75.05	1.223489774
75.10	1.174916011
75.15	1.651803557
75.20	1.288342219
75.25	1.320938731
75.30	1.462464437
75.35	1.181768232
75.40	1.303797428
75.45	1.385906695
75.50	1.424365845
75.55	1.321975576
75.60	1.337065701
75.65	1.360471093
75.70	1.241526159
75.75	1.266833378
75.80	1.373277046
75.85	1.476906552
75.90	1.236426557
75.95	1.569601822
76.00	1.786983585
76.05	1.248528399
76.10	1.56363081
76.15	1.538726751
76.20	1.542637943
76.25	1.263131369
76.30	1.455387152
76.35	1.347208341
76.40	1.875110419
76.45	1.629472496
76.50	1.654139083
76.55	1.329203768
76.60	1.332859981
76.65	1.601271048
76.70	1.243510919
76.75	1.566197534
76.80	1.392558515
76.85	1.531422641
76.90	1.560032294
76.95	1.570959592
77.00	1.586983338
77.05	1.306245486
77.10	1.254572996
77.15	1.514544677
77.20	1.631424666
77.25	1.630000311
77.30	1.372961285
77.35	1.572674943
77.40	1.665065423
77.45	1.412396598
77.50	1.265593925
77.55	1.730041449
77.60	1.821474298
77.65	1.752136752
77.70	2.085078833
77.75	1.651463337
77.80	1.577629218
77.85	1.549286076
77.90	1.446151664
77.95	1.103547471
78.00	1.269994672
78.05	1.344484339
78.10	1.407826391
78.15	1.324080817
78.20	1.343258361
78.25	1.126657861
78.30	1.538254536
78.35	1.908372667
78.40	2.100202677
78.45	1.894021963
78.50	1.938426454
78.55	1.329305977
78.60	1.280985674
78.65	1.505473688
78.70	1.38391026
78.75	1.528132967
78.80	1.508884907
78.85	1.424021108
78.90	1.703107354
78.95	1.615521524
79.00	1.645711015
79.05	1.385060042
79.10	1.411819212
79.15	1.442746889
79.20	1.412119727
79.25	1.385817944
79.30	1.217025912
79.35	1.294266145
79.40	1.281566798
79.45	1.65972349
79.50	1.438623525
79.55	1.243214516
79.60	1.20772565
79.65	1.135031307
79.70	1.253969854
79.75	1.252310998
79.80	1.405363221
79.85	1.310807337
79.90	1.387979573
79.95	1.572125473
80.00	1.303805963
80.05	1.325304586
80.10	1.456645947
80.15	1.51083607
80.20	1.689199896
80.25	1.566511188
80.30	1.241054473
80.35	1.916448721
80.40	2.50734629
80.45	1.967699457
80.50	1.777537496
80.55	1.295785683
80.60	1.593467945
80.65	1.36030659
80.70	1.305847437
80.75	1.46522388
80.80	1.949621503
80.85	1.335897907
80.90	1.559017883
80.95	1.687553876
81.00	1.467459334
81.05	1.330481553
81.10	1.395479511
81.15	1.639344262
81.20	1.516534779
81.25	1.301214054
81.30	1.258470773
81.35	1.188749821
81.40	1.138948581
81.45	1.153111375
81.50	1.293533564
81.55	1.272934501
81.60	1.244660254
81.65	1.096238354
81.70	1.245393154
81.75	1.425523508
81.80	1.315684172
81.85	1.22642362
81.90	1.226048381
81.95	1.235307675
82.00	1.145457545
82.05	1.404075941
82.10	1.248071889
82.15	1.376161039
82.20	1.073119282
82.25	1.299774367
82.30	1.282613284
82.35	1.476135279
82.40	1.40291807
82.45	1.544052573
82.50	1.865424771
82.55	1.495609087
82.60	1.518538276
82.65	1.413603858
82.70	1.396738149
82.75	1.202178285
82.80	1.464684822
82.85	1.649079692
82.90	1.572311721
82.95	1.355039472
83.00	1.602564103
83.05	1.570612539
83.10	1.337318304
83.15	1.669951217
83.20	1.400705205
83.25	1.482637009
83.30	1.48611033
83.35	1.800033835
83.40	1.436826488
83.45	1.532886926
83.50	1.24479901
83.55	1.573510061
83.60	1.280599265
83.65	1.323113111
83.70	1.651639107
83.75	1.514035137
83.80	1.51407443
83.85	1.516589442
83.90	1.318542546
83.95	1.357432636
84.00	1.489857161
84.05	1.274856692
84.10	1.191869013
84.15	1.616917124
84.20	1.722013009
84.25	1.445146902
84.30	1.163128817
84.35	1.326988051
84.40	1.136894373
84.45	1.476485656
84.50	1.557902561
84.55	1.728220811
84.60	1.428371019
84.65	1.720229904
84.70	2.038704549
84.75	1.541039185
84.80	1.576176374
84.85	1.431783676
84.90	1.306710591
84.95	1.293085776
85.00	1.454438338
85.05	1.104465283
85.10	1.447472181
85.15	1.308900524
85.20	1.401199949
85.25	1.394996424
85.30	1.444778822
85.35	1.375781109
85.40	1.284883812
85.45	1.613074991
85.50	1.741279178
85.55	1.679059727
85.60	1.550034192
85.65	1.580186698
85.70	1.444721129
85.75	1.301076688
85.80	1.279065328
85.85	1.409150652
85.90	1.607273158
85.95	1.670912776
86.00	1.304694409
86.05	1.425897598
86.10	1.383625466
86.15	1.654351282
86.20	1.449868025
86.25	1.340104829
86.30	1.298697292
86.35	1.201682971
86.40	1.40015495
86.45	1.875415665
86.50	1.279125724
86.55	1.627732265
86.60	1.330892873
86.65	1.172162692
86.70	1.485724591
86.75	1.088335976
86.80	1.214414013
86.85	1.246117623
86.90	1.067544425
86.95	1.194186351
87.00	1.450581927
87.05	1.531772788
87.10	1.203302904
87.15	1.077054527
87.20	1.2834722
87.25	1.71327742
87.30	1.765346395
87.35	1.65638544
87.40	1.513836396
87.45	1.834083262
87.50	1.697646427
87.55	1.683969902
87.60	1.447392454
87.65	1.363528762
87.70	1.353150575
87.75	1.442301902
87.80	1.153578791
87.85	1.330359963
87.90	1.751883549
87.95	1.734000633
88.00	2.078395302
88.05	1.638922574
88.10	1.411851367
88.15	1.479160937
88.20	1.411659333
88.25	1.548472784
88.30	1.422774286
88.35	1.455590317
88.40	1.544888671
88.45	1.416444337
88.50	1.25010874
88.55	1.137049473
88.60	1.314197439
88.65	1.191990317
88.70	1.160370696
88.75	1.220206356
88.80	1.45803528
88.85	1.364575745
88.90	1.794546749
88.95	1.371812789
89.00	1.573342071
89.05	1.588190444
89.10	1.362058846
89.15	1.456245138
89.20	1.769815383
89.25	1.55077587
89.30	1.611193835
89.35	1.601084449
89.40	1.230376329
89.45	1.30878688
89.50	1.550829842
89.55	1.270409796
89.60	1.37067938
89.65	1.533903737
89.70	1.543354851
89.75	1.539373573
89.80	1.464922889
89.85	1.602674896
89.90	1.519944681
89.95	1.35126918
90.00	1.465490331
90.05	1.282018735
90.10	1.443802054
90.15	1.283973106
90.20	1.248422826
90.25	1.222426152
90.30	1.342432039
90.35	1.23802656
90.40	1.570567379
90.45	1.227733591
90.50	1.415892753
90.55	1.246017839
90.60	1.22842497
90.65	1.529384642
90.70	1.420850738
90.75	1.473221369
90.80	1.533865116
90.85	1.258168588
90.90	1.449444769
90.95	1.704430032
91.00	2.410291517
91.05	1.892107134
91.10	1.743376598
91.15	1.57533791
91.20	1.098029021
91.25	1.029994994
91.30	1.567798615
91.35	1.405645626
91.40	1.616575372
91.45	1.446659283
91.50	1.387264971
91.55	1.327914866
91.60	1.751707068
91.65	1.597984368
91.70	1.606352765
91.75	1.534979643
91.80	1.306771799
91.85	1.250082037
91.90	1.560416489
91.95	1.40680245
92.00	1.494973153
92.05	1.472703716
92.10	1.181120815
92.15	1.333333333
92.20	1.280021767
92.25	1.461125629
92.30	1.70408568
92.35	1.124800785
92.40	1.395802987
92.45	1.546954623
92.50	1.440620937
92.55	1.595370892
92.60	1.309734399
92.65	1.253891672
92.70	1.584817449
92.75	1.259763991
92.80	1.463558044
92.85	1.331885866
92.90	1.757365525
92.95	1.613389824
93.00	1.500071743
93.05	1.735576065
93.10	1.639403865
93.15	1.681987629
93.20	1.345150678
93.25	1.535835007
93.30	1.392017997
93.35	1.451874626
93.40	1.216568655
93.45	1.609277613
93.50	1.329436708
93.55	1.287943743
93.60	0.988378853
93.65	1.156157198
93.70	1.446631254
93.75	1.606448518
93.80	1.622490161
93.85	1.511777952
93.90	1.43592497
93.95	1.279090756
94.00	1.426608734
94.05	1.955858828
94.10	1.479964281
94.15	1.207710072
94.20	1.163336331
94.25	1.55456524
94.30	1.228468509
94.35	1.3765047
94.40	1.611731816
94.45	1.398563873
94.50	1.407958494
94.55	1.648484374
94.60	1.607497419
94.65	1.495429928
94.70	1.450030444
94.75	1.342462898
94.80	1.487375558
94.85	1.484828724
94.90	1.413486068
94.95	1.513140835
95.00	1.489852483
95.05	1.542973184
95.10	1.379263737
95.15	1.393629822
95.20	1.531299391
95.25	1.292705448
95.30	1.350672794
95.35	1.394499863
95.40	1.27652835
95.45	1.440940051
95.50	1.53794426
95.55	1.653393324
95.60	1.42247058
95.65	1.868311206
95.70	1.386681424
95.75	1.431386519
95.80	1.323254439
95.85	1.368653422
95.90	1.47378493
95.95	1.621612803
96.00	1.726587772
96.05	1.412959639
96.10	1.207319007
96.15	1.405156795
96.20	1.293932157
96.25	1.278439661
96.30	1.280068946
96.35	1.608115991
96.40	1.500370113
96.45	1.817231095
96.50	1.523176732
96.55	1.507626818
96.60	1.761874198
96.65	1.337995561
96.70	1.372866038
96.75	1.547948494
96.80	1.841248933
96.85	2.548025996
96.90	3.214848173
96.95	3.360442226
97.00	1.720248551
97.05	1.595920182
97.10	1.511510466
97.15	1.525547626
97.20	1.412042403
97.25	1.406161794
97.30	1.65326042
97.35	1.223981885
97.40	1.56038496
97.45	1.591474337
97.50	1.373116482
97.55	1.35343012
97.60	1.634033051
97.65	1.22427926
97.70	1.543766728
97.75	1.385924813
97.80	1.568368352
97.85	1.600069049
97.90	1.431300864
97.95	1.644398767
98.00	1.255244355
98.05	1.283133547
98.10	1.255139843
98.15	1.3784917
98.20	1.431317361
98.25	1.818671008
98.30	1.521696133
98.35	1.479491522
98.40	1.458350635
98.45	1.615524328
98.50	1.502127206
98.55	1.396902924
98.60	1.57697177
98.65	1.699023906
98.70	1.576148327
98.75	1.533443917
98.80	2.709097148
98.85	2.068687047
98.90	1.299140287
98.95	1.28098309
99.00	1.393090142
99.05	1.229363695
99.10	1.385581018
99.15	1.64468966
99.20	1.791534528
99.25	1.807002054
99.30	1.737422088
99.35	1.557407687
99.40	1.62827641
99.45	1.104910787
99.50	1.332608808
99.55	1.239591766
99.60	1.387394918
99.65	1.186028199
99.70	1.458542965
99.75	1.478083256
99.80	1.09419312
99.85	1.360642591
99.90	1.742794026
99.95	1.451684433
100.00	1.372538152
100.05	1.369789787
100.10	1.686257494
100.15	1.553336503
100.20	1.344830558
100.25	1.638160817
100.30	1.607789274
100.35	1.592228243
100.40	1.516623702
100.45	1.701616026
100.50	1.593488369
100.55	1.501254804
100.60	1.549647548
100.65	1.646981158
100.70	1.65320422
100.75	1.675880738
100.80	1.621888442
100.85	1.723332635
100.90	1.455934164
100.95	1.623218833
101.00	1.189789095
101.05	1.337671389
101.10	1.567785866
101.15	1.530116787
101.20	1.596284533
101.25	1.393657383
101.30	1.42312235
101.35	1.312171566
101.40	1.366498801
101.45	1.355451055
101.50	1.35001031
101.55	1.288922963
101.60	1.662207624
101.65	1.475799735
101.70	1.228905076
101.75	1.454079098
101.80	1.616106198
101.85	1.421030653
101.90	1.509320648
101.95	1.926097135
102.00	2.004372074
102.05	1.65599191
102.10	1.288405356
102.15	1.328503601
102.20	1.574854344
102.25	1.897659553
102.30	2.010312341
102.35	1.441302709
102.40	1.69872482
102.45	1.436377131
102.50	1.419433102
102.55	1.666266222
102.60	1.429564949
102.65	1.346643822
102.70	1.353424163
102.75	1.323377686
102.80	1.428848126
102.85	1.40979366
102.90	1.327451637
102.95	1.64092082
103.00	1.306221556
103.05	1.231146102
103.10	1.244200963
103.15	1.611109218
103.20	1.336902523
103.25	1.439292364
103.30	1.393334589
103.35	1.492847791
103.40	1.649887716
103.45	1.727335154
103.50	1.446516939
103.55	1.312259329
103.60	1.438327115
103.65	1.588673977
103.70	1.524506441
103.75	1.374665136
103.80	1.110997954
103.85	1.240847975
103.90	1.084389159
103.95	1.3805728
104.00	1.32837407
104.05	1.454240412
104.10	1.145499997
104.15	1.315700695
104.20	1.177774068
104.25	1.018801231
104.30	1.270449286
104.35	1.365904746
104.40	1.393697872
104.45	1.260821799
104.50	1.472660526
104.55	1.05221623
104.60	1.469673671
104.65	1.265633843
104.70	1.402860239
104.75	1.785256174
104.80	1.974616686
104.85	1.709554871
104.90	1.522133289
104.95	1.315415245
105.00	1.414229424
105.05	1.269031547
105.10	1.459754687
105.15	1.340088964
105.20	1.545565981
105.25	1.500570022
105.30	1.588032898
105.35	1.816689084
105.40	1.286514505
105.45	1.145206533
105.50	1.234097047
105.55	1.403452563
105.60	1.44301706
105.65	1.450396442
105.70	1.627516945
105.75	1.378822921
105.80	1.289087072
105.85	1.429024598
105.90	1.225699963
105.95	1.36538579
106.00	1.421358112
106.05	1.176142681
106.10	1.533521682
106.15	1.514485319
106.20	1.479598153
106.25	1.136090205
106.30	1.282922972
106.35	1.5300696
106.40	1.488314762
106.45	1.55311861
106.50	1.334892788
106.55	1.216709477
106.60	1.450046805
106.65	1.416164595
106.70	1.267676101
106.75	1.479626679
106.80	1.382951199
106.85	1.559029557
106.90	1.369603365
106.95	1.462565723
107.00	1.223042745
107.05	1.181035937
107.10	1.370011176
107.15	1.562292248
107.20	1.112394775
107.25	1.270706531
107.30	1.175080767
107.35	1.027047869
107.40	1.431038372
107.45	1.295007523
107.50	1.383343785
107.55	1.644914498
107.60	1.193816768
107.65	1.372592154
107.70	1.278447814
107.75	1.235429652
107.80	1.050012973
107.85	1.296574524
107.90	1.217962624
107.95	1.329135199
108.00	1.541853665
108.05	1.39975437
108.10	1.660519892
108.15	1.690010245
108.20	1.417041935
108.25	1.639918188
108.30	1.627036781
108.35	1.377429585
108.40	1.539210772
108.45	1.547140171
108.50	1.373985202
108.55	1.476067349
108.60	1.611014443
108.65	1.611558766
108.70	1.538993887
108.75	1.933906128
108.80	1.489274997
108.85	1.438254257
108.90	1.275617352
108.95	1.260179633
109.00	1.385452108
109.05	1.475234297
109.10	1.533411771
109.15	1.398572276
109.20	1.4722775
109.25	1.686960729
109.30	1.424808231
109.35	1.803354999
109.40	1.926080368
109.45	1.924947483
109.50	1.450540167
109.55	1.905836674
109.60	1.837355669
109.65	1.907261477
109.70	1.437992429
109.75	1.653727106
109.80	1.836942078
109.85	1.883788907
109.90	1.916919959
109.95	1.445353722
110.00	1.536787871
110.05	1.708788107
110.10	1.289838333
110.15	1.526978361
110.20	1.352180651
110.25	1.803040614
110.30	1.68130319
110.35	2.605604371
110.40	2.491016441
110.45	1.738184004
110.50	1.790379693
110.55	1.564043464
110.60	1.555948535
110.65	1.495450826
110.70	1.318393579
110.75	1.406302431
110.80	1.238355929
110.85	1.444217491
110.90	1.591874819
110.95	1.734953446
111.00	1.622174088
111.05	2.069246911
111.10	2.218067746
111.15	1.943366558
111.20	1.875238344
111.25	1.649257834
111.30	1.507507142
111.35	1.46159054
111.40	1.6
111.45	1.615484218
111.50	1.725965925
111.55	1.54163799
111.60	1.185064014
111.65	1.429958404
111.70	1.278660712
111.75	1.343968121
111.80	1.344369464
111.85	1.162763657
111.90	1.628054638
111.95	1.62877394
112.00	1.710944699
112.05	1.753988564
112.10	1.813195045
112.15	1.551910482
112.20	1.454944207
112.25	1.556717742
112.30	1.575720417
112.35	1.573084404
112.40	1.365565152
112.45	1.261581161
112.50	1.398746625
112.55	1.464938728
112.60	1.433174745
112.65	1.324889618
112.70	1.412389919
112.75	1.410359056
112.80	1.539841485
112.85	1.589810481
112.90	1.957189654
112.95	1.802704056
113.00	1.66125366
113.05	1.410304965
113.10	1.550863369
113.15	1.299168154
113.20	1.395517334
113.25	1.415414569
113.30	1.674500211
113.35	1.630886481
113.40	1.557495936
113.45	1.56821388
113.50	1.446842605
113.55	1.200308651
113.60	1.283717292
113.65	1.654535544
113.70	1.532229828
113.75	1.49951049
113.80	1.755948594
113.85	1.840732356
113.90	1.669883824
113.95	1.653402922
114.00	1.61510276
114.05	1.333396667
114.10	1.384025067
114.15	1.605409154
114.20	1.37693148
114.25	1.393352286
114.30	1.524034751
114.35	1.708023265
114.40	1.522821877
114.45	1.364336061
114.50	1.581933409
114.55	1.634367645
114.60	1.640128714
114.65	1.583234792
114.70	1.456881958
114.75	1.367590912
114.80	1.397076585
114.85	1.647896978
114.90	1.306274107
114.95	1.460725013
115.00	1.64950596
115.05	1.341949474
115.10	1.56321422
115.15	1.5080412
115.20	1.728782975
115.25	1.676276901
115.30	1.922544379
115.35	1.446562287
115.40	1.309743433
115.45	1.620377042
115.50	1.647108652
115.55	1.461773127
115.60	1.269755415
115.65	1.752719391
115.70	1.547237888
115.75	1.508709801
115.80	1.478945256
115.85	1.490434676
115.90	1.736915239
115.95	1.67532913
116.00	1.818309195
116.05	1.678455821
116.10	1.527067747
116.15	1.696026987
116.20	1.620021744
116.25	1.545053831
116.30	1.619179114
116.35	1.541972888
116.40	1.759847039
116.45	1.903342679
116.50	1.655050728
116.55	1.389186417
116.60	1.406091067
116.65	1.829178886
116.70	1.89291908
116.75	1.917593207
116.80	1.696672957
116.85	1.625118334
116.90	1.612372598
116.95	1.752926496
117.00	1.680340022
117.05	1.179789533
117.10	1.074238324
117.15	1.458314717
117.20	1.956366237
117.25	1.888849276
117.30	1.544047661
117.35	1.686288938
117.40	1.978089398
117.45	1.697647173
117.50	1.837492773
117.55	1.686440209
117.60	1.624315554
117.65	1.402626297
117.70	1.55281951
117.75	1.81017232
117.80	1.44589809
117.85	1.700245915
117.90	1.52771572
117.95	1.36751142
118.00	1.459345398
118.05	1.69583787
118.10	1.613785244
118.15	1.87659222
118.20	1.799657299
118.25	1.41507034
118.30	1.41008015
118.35	1.797979861
118.40	1.431912867
118.45	1.551808325
118.50	1.404270673
118.55	1.644213788
118.60	1.647288542
118.65	1.619283754
118.70	1.69480706
118.75	1.463569245
118.80	1.360594704
118.85	1.47950056
118.90	1.308056637
118.95	1.442785605
119.00	1.379629719
119.05	1.481546037
119.10	1.518366693
119.15	1.593478322
119.20	1.567418592
119.25	1.525054466
119.30	1.633731947
119.35	1.440215439
119.40	1.473521315
119.45	1.223497296
119.50	1.392774865
119.55	1.659913099
119.60	1.59507879
119.65	1.688738779
119.70	1.559921817
119.75	1.509545358
119.80	1.490087961
119.85	1.451208282
119.90	1.379055284
119.95	1.154847361
120.00	1.281374103
120.05	1.448388546
120.10	1.659412754
120.15	1.487567258
120.20	1.746510438
120.25	1.675204209
120.30	1.299123092
120.35	1.091579529
120.40	1.597564056
120.45	1.460276302
120.50	1.732082854
120.55	1.482939881
120.60	1.362840333
120.65	1.296802141
120.70	1.573182034
120.75	1.290074387
120.80	1.645052951
120.85	1.425215573
120.90	1.746680125
120.95	1.880724934
121.00	1.651922462
121.05	1.375836942
121.10	1.3819773
121.15	1.514532075
121.20	1.542372397
121.25	1.487558601
121.30	1.774390503
121.35	1.613255862
121.40	1.550799334
121.45	1.445592993
121.50	1.390852075
121.55	1.60731712
121.60	1.561789472
121.65	1.564940167
121.70	1.506732615
121.75	1.324642362
121.80	1.160210623
121.85	1.226642813
121.90	1.113517697
121.95	1.158666828
122.00	1.558069953
122.05	1.330037517
122.10	1.380421382
122.15	1.400504427
122.20	1.348996341
122.25	1.405363752
122.30	1.354677453
122.35	1.391129284
122.40	1.273676916
122.45	1.495426048
122.50	1.775286148
122.55	1.469368653
122.60	1.225743963
122.65	1.306963815
122.70	1.330735076
122.75	1.327432174
122.80	1.30210118
122.85	1.407137466
122.90	1.742512084
122.95	1.478143477
123.00	1.251369183
123.05	1.402612078
123.10	1.811390563
123.15	1.443731491
123.20	1.509488212
123.25	1.367022852
123.30	1.298361448
123.35	1.679181534
123.40	1.361691308
123.45	1.717192374
123.50	1.40437484
123.55	1.539332426
123.60	1.516041175
123.65	1.233152703
123.70	1.412045269
123.75	1.462504242
123.80	1.279856552
123.85	1.376661394
123.90	1.636129665
123.95	1.419962488
124.00	1.426905268
124.05	1.691968323
124.10	1.437258154
124.15	1.717532903
124.20	1.209228628
124.25	1.442144284
124.30	1.659836131
124.35	1.519843097
124.40	1.330498215
124.45	1.367279871
124.50	1.356044216
124.55	1.610372879
124.60	1.78592341
124.65	1.834106611
124.70	1.374455138
124.75	1.37193328
124.80	1.226916066
124.85	1.63019168
124.90	1.532354238
124.95	1.414198553
125.00	1.365891213
125.05	1.397740897
125.10	1.590135492
125.15	1.525841007
125.20	1.442568719
125.25	1.668525943
125.30	1.770442137
125.35	1.303752293
125.40	1.212668563
125.45	1.51486563
125.50	1.721639206
125.55	1.895161439
125.60	1.435825143
125.65	1.702322587
125.70	1.453055256
125.75	1.455351669
125.80	1.507884212
125.85	1.383791029
125.90	1.352408978
125.95	1.340315052
126.00	1.398417479
126.05	1.446254768
126.10	1.523179038
126.15	1.532640452
126.20	1.5535027
126.25	1.48871495
126.30	1.276915698
126.35	1.476494992
126.40	1.605506923
126.45	1.750847797
126.50	1.279979786
126.55	1.391508198
126.60	1.306136154
126.65	1.540352031
126.70	1.626711728
126.75	1.163110917
126.80	1.430474029
126.85	1.531997414
126.90	1.519777415
126.95	1.600481729
127.00	1.410802264
127.05	1.776163487
127.10	1.523501485
127.15	1.813582619
127.20	1.462852178
127.25	1.113388497
127.30	1.803414936
127.35	1.47085338
127.40	1.602185446
127.45	1.300633566
127.50	1.363827109
127.55	1.33427649
127.60	1.578007146
127.65	1.390524103
127.70	1.173921502
127.75	1.446019935
127.80	1.48724327
127.85	1.77304413
127.90	1.736216003
127.95	1.508406362
128.00	1.517217195
128.05	1.625039359
128.10	1.897380272
128.15	1.773290079
128.20	1.77319007
128.25	1.952836179
128.30	1.58827038
128.35	1.498488731
128.40	1.388647804
128.45	1.479526682
128.50	1.586383112
128.55	1.465767748
128.60	1.54718419
128.65	1.478870594
128.70	1.554770318
128.75	1.652131521
128.80	1.646266503
128.85	1.508354846
128.90	1.596696399
128.95	1.412610762
129.00	1.45287721
129.05	1.397407825
129.10	1.677276843
129.15	1.585625558
129.20	1.793652032
129.25	1.403672549
129.30	1.492380023
129.35	1.211088336
129.40	1.426237585
129.45	1.608145337
129.50	1.719575392
129.55	1.639514731
129.60	1.633682817
129.65	1.459623017
129.70	1.496843022
129.75	1.382049339
129.80	1.648385401
129.85	1.454270872
129.90	1.235147183
129.95	1.389612645
130.00	2.024309392
130.05	1.727055717
130.10	1.568532819
130.15	1.462748108
130.20	1.609380389
130.25	2.236631118
130.30	1.451961103
130.35	1.694837915
130.40	2.003831717
130.45	2.089125035

