%   dft 	Mg/Ca
%   [mm]	[ppm]
16.05	1.426430436
16.10	1.169579552
16.15	1.418505614
16.20	1.314588843
16.25	1.403591948
16.30	1.177075983
16.35	1.229224271
16.40	1.330968533
16.45	1.233387424
16.50	1.215469268
16.55	1.513460863
16.60	1.088950555
16.65	1.356779658
16.70	1.254055147
16.75	1.544932307
16.80	1.379429261
16.85	1.340419306
16.90	1.173115179
16.95	1.282162726
17.00	1.311364127
17.05	1.367401875
17.10	1.500060384
17.15	1.322000071
17.20	1.519558894
17.25	1.631612492
17.30	1.377489343
17.35	1.438478014
17.40	1.667775175
17.45	1.464417563
17.50	1.468744623
17.55	1.329617463
17.60	1.340155141
17.65	1.610795057
17.70	1.290133711
17.75	1.202565906
17.80	1.100544446
17.85	1.486793773
17.90	1.44026249
17.95	1.527458698
18.00	1.284228074
18.05	1.531763199
18.10	1.288952679
18.15	1.366240491
18.20	1.363547595
18.25	1.269468779
18.30	1.334957429
18.35	1.295102892
18.40	1.547012945
18.45	1.36372278
18.50	1.749903755
18.55	1.66520979
18.60	2.127737226
18.65	1.519823565
18.70	1.348923738
18.75	1.283585547
18.80	1.338872723
18.85	1.521709725
18.90	1.367170525
18.95	1.488157149
19.00	1.444390948
19.05	1.305239605
19.10	1.241183155
19.15	1.305255288
19.20	1.239055014
19.25	1.573718894
19.30	1.326429615
19.35	1.324118007
19.40	1.542083134
19.45	1.541766169
19.50	1.446822366
19.55	1.648953785
19.60	1.689855427
19.65	1.341349721
19.70	1.486284352
19.75	1.322629945
19.80	1.480246208
19.85	1.097291082
19.90	1.435685903
19.95	1.241364756
20.00	1.244367352
20.05	1.229160148
20.10	1.591709021
20.15	1.221227381
20.20	1.417385334
20.25	1.185625489
20.30	1.65289794
20.35	1.432188111
20.40	1.231439233
20.45	1.220093229
20.50	1.405870304
20.55	1.363600411
20.60	1.376556781
20.65	1.183048739
20.70	1.291113909
20.75	1.582966245
20.80	1.533811232
20.85	1.752976408
20.90	1.661567592
20.95	1.396965965
21.00	1.357874276
21.05	1.343966146
21.10	1.249301172
21.15	1.460013988
21.20	1.466670468
21.25	1.296550184
21.30	1.38881969
21.35	1.3940004
21.40	1.063918158
21.45	1.792010107
21.50	1.313647657
21.55	1.195368953
21.60	1.29846107
21.65	1.407301185
21.70	1.257661717
21.75	1.399211098
21.80	1.390266736
21.85	1.313579696
21.90	1.632382033
21.95	1.575391022
22.00	1.44115773
22.05	1.525009467
22.10	1.650688619
22.15	1.636805583
22.20	1.753060685
22.25	1.060611385
22.30	1.291022231
22.35	1.413413689
22.40	1.450963112
22.45	1.362028375
22.50	1.485120418
22.55	1.630780565
22.60	1.686969672
22.65	1.30936537
22.70	1.721456128
22.75	1.498492795
22.80	1.571610866
22.85	1.735969561
22.90	1.494710889
22.95	1.600810809
23.00	1.410700712
23.05	1.291763575
23.10	1.533612191
23.15	1.694096408
23.20	1.571454049
23.25	1.500342506
23.30	1.208632376
23.35	1.451289367
23.40	1.424962026
23.45	1.606939055
23.50	1.631888825
23.55	1.589270771
23.60	1.471862036
23.65	1.201657638
23.70	1.247026322
23.75	1.403399871
23.80	1.535930535
23.85	1.421678301
23.90	1.78280276
23.95	1.56910465
24.00	1.058234386
24.05	1.009380163
24.10	1.293342366
24.15	1.296759382
24.20	1.006013939
24.25	1.223505575
24.30	1.725301098
24.35	2.540840056
24.40	2.865884358
24.45	1.958301298
24.50	1.52726162
24.55	1.678135069
24.60	1.095877864
24.65	1.35089709
24.70	1.381300833
24.75	1.388306046
24.80	1.556265625
24.85	1.428475846
24.90	1.232421012
24.95	1.226239565
25.00	1.261171967
25.05	1.358713707
25.10	1.414155282
25.15	1.657715869
25.20	1.379401775
25.25	1.376790067
25.30	1.02030764
25.35	1.356326293
25.40	1.504750766
25.45	1.456002672
25.50	1.536683303
25.55	1.469107202
25.60	1.432091267
25.65	1.449492848
25.70	1.663538964
25.75	2.456391548
25.80	1.910460958
25.85	1.977615572
25.90	1.919997682
25.95	2.560232201
26.00	2.24157933
26.05	1.385233412
26.10	1.304996271
26.15	1.685252136
26.20	1.616697659
26.25	2.302343997
26.30	1.818628848
26.35	1.685543907
26.40	1.536160291
26.45	1.368679388
26.50	2.330907009
26.55	2.717020532
26.60	1.678490249
26.65	1.446365369
26.70	1.134038886
26.75	1.262837777
26.80	1.469118328
26.85	1.434330519
26.90	1.756932244
26.95	1.478044674
27.00	1.338897694
27.05	1.176797688
27.10	1.321506761
27.15	1.351456626
27.20	1.920490839
27.25	2.22032589
27.30	2.438470457
27.35	2.117680887
27.40	1.883532324
27.45	2.266016297
27.50	1.931623179
27.55	1.737780213
27.60	1.413230659
27.65	1.578292209
27.70	1.659269375
27.75	1.565690007
27.80	1.653741072
27.85	1.651349093
27.90	1.338445002
27.95	1.007414845
28.00	2.075820104
28.05	2.338879061
28.10	2.487957228
28.15	1.957547718
28.20	1.58301254
28.25	1.493783512
28.30	1.241289813
28.35	1.840671983
28.40	1.832555327
28.45	1.468238693
28.50	1.464038539
28.55	1.39049487
28.60	1.595559401
28.65	1.701615317
28.70	1.814907867
28.75	1.834567588
28.80	1.908173164
28.85	1.966981083
28.90	1.485859515
28.95	1.337610265
29.00	1.619689033
29.05	2.017958726
29.10	2.598106771
29.15	1.961918486
29.20	1.913812675
29.25	2.12663703
29.30	1.86444269
29.35	1.737706748
29.40	2.535715094
29.45	2.598180845
29.50	2.582394804
29.55	2.564315027
29.60	2.730816445
29.65	2.840741764
29.70	2.478960616
